run,case_id,e1_correct,exact_match,reason,details,lenient_e1,lenient_reason
baseline_granite,test_0025,0,0,false_approval,"PROP-Y60 aprobada pero viola ['presupuesto'] | PROP-B67 aprobada pero viola ['distancia_transporte'] | rechazo falso u omisión de aprobadas: ['PROP-G95', 'PROP-W51']",,
baseline_granite,test_0026,0,0,false_approval,PROP-Q82 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-N58'] | propiedades sin clasificar: ['PROP-N58'],,
baseline_granite,test_0027,0,0,arithmetic_error,PROP-M24: roi=67.2 esperado=6.79 | rechazo falso u omisión de aprobadas: ['PROP-Q28'],,
baseline_granite,test_0028,0,0,false_approval,"PROP-T50 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-M97', 'PROP-Q14', 'PROP-U16']",,
baseline_granite,test_0029,0,0,schema_error,ids repetidos o en ambas listas: ['PROP-Q84'],,
baseline_granite,test_0030,0,0,false_approval,"PROP-R82 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-P41', 'PROP-Y33']",,
baseline_granite,test_0031,0,0,false_approval,PROP-E10 aprobada pero viola ['presupuesto'],,
baseline_granite,test_0032,0,0,false_approval,PROP-R34 aprobada pero viola ['presupuesto'] | PROP-C76 aprobada pero viola ['presupuesto'],,
baseline_granite,test_0033,0,1,arithmetic_error,PROP-G93: roi=8.18 esperado=9.83 | PROP-B62: price_clp=108040000 esperado=136383000 | PROP-B62: roi=5.63 esperado=5.37,,
baseline_granite,test_0034,0,0,false_approval,PROP-D47 aprobada pero viola ['presupuesto'] | PROP-W62 aprobada pero viola ['presupuesto'] | PROP-Y64 aprobada pero viola ['distancia_transporte'] | rechazo falso u omisión de aprobadas: ['PROP-X15'],,
baseline_granite,test_0035,0,0,false_approval,"PROP-E64 aprobada pero viola ['mascotas'] | PROP-F20 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-T57', 'PROP-W69', 'PROP-X26']",,
baseline_granite,test_0036,0,0,false_approval,"PROP-G84 aprobada pero viola ['presupuesto'] | PROP-K73 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-D66', 'PROP-W70']",,
baseline_granite,test_0037,0,0,arithmetic_error,"PROP-S87: price_clp=505620000 esperado=128400000 | PROP-S87: roi=72.0 esperado=9.25 | rechazo falso u omisión de aprobadas: ['PROP-N88', 'PROP-W11']",,
baseline_granite,test_0038,0,0,schema_error,ids repetidos o en ambas listas: ['PROP-U50'],,
baseline_granite,test_0039,0,0,schema_error,ids repetidos o en ambas listas: ['PROP-H45'],,
baseline_granite,test_0040,0,0,arithmetic_error,PROP-U30: price_clp=348240000 esperado=88800000 | PROP-U30: roi=81.82 esperado=10.14 | rechazo falso u omisión de aprobadas: ['PROP-A72'],,
baseline_granite,test_0041,0,0,false_approval,PROP-Z27 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-D60'],,
baseline_granite,test_0042,0,0,false_approval,"PROP-T18 aprobada pero viola ['presupuesto'] | PROP-J79 aprobada pero viola ['distancia_transporte', 'estacionamiento'] | PROP-B32 aprobada pero viola ['presupuesto']",,
baseline_granite,test_0043,0,0,false_approval,"PROP-A78 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-J39', 'PROP-R24']",,
baseline_granite,test_0044,0,0,false_approval,PROP-W97 aprobada pero viola ['estacionamiento'] | rechazo falso u omisión de aprobadas: ['PROP-C31'],,
baseline_granite,test_0045,0,0,schema_error,ids repetidos o en ambas listas: ['PROP-U44'],,
baseline_granite,test_0046,0,0,false_approval,PROP-K60 aprobada pero viola ['dormitorios'] | rechazo falso u omisión de aprobadas: ['PROP-M31'],,
baseline_granite,test_0047,0,0,schema_error,ids repetidos o en ambas listas: ['PROP-Y31'],,
baseline_granite,test_0048,0,0,false_approval,PROP-R67 aprobada pero viola ['distancia_transporte'] | PROP-P29 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-L86'],,
baseline_granite,test_0049,0,0,false_approval,"PROP-W34 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-J29', 'PROP-Z29']",,
baseline_granite,test_0050,0,0,false_approval,PROP-Y49 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-S84'],,
